Clip ID	Word Number	Original Word	TreeTagger POS	POS	Lemma	Speaker	Start Time	End Time	SRT Line	Language	File ID	Tense	Mood	Number	Person	Gender
MF025_1967_CT_SU2011_VA_08	tt-5090	...	DOTS	Punctuation	...	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5091	electromecánico	ADJ	Adjective	electromecánico	>>s	00:00:20	00:00:27	3	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5092	y	CC	Conjunction	y	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5093	mi	PPO	Pronoun	mío	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5094	hermana	NC	Noun	hermano	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5095	trabajaba	VLfin	Verb	trabajar	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA	Imp	Indi	Sing	1st or 3rd
MF025_1967_CT_SU2011_VA_08	tt-5096	en	PREP	Preposition	en	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5097	una	ART	Determiner	un	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5098	agencia	VLfin	Verb	agenciar	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA	Pres	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5099	,	CM	Punctuation	,	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5100	ella	PPX	Pronoun	él	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5101	ehm	NP	Noun	ehm	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5102	...	DOTS	Punctuation	...	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5103	era	VEfin	Verb	ser	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA	Imp	Indi	Sing	1st or 3rd
MF025_1967_CT_SU2011_VA_08	tt-5104	coordinadora	NC	Noun	coordinador	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5105	de	PREP	Preposition	de	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5106	renta	NC	Noun	renta	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5107	de	PREP	Preposition	de	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5108	automóviles	NC	Noun	automóvil	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA			Plural	
MF025_1967_CT_SU2011_VA_08	tt-5109	.	FS	Punctuation	.	>>s	00:00:28	00:00:35	4	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5110	Así	CSUBX	Conjunction	así	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5111	que	CQUE	Conjunction	que	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5112	mi	PPO	Pronoun	mío	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5113	esposo	NC	Noun	esposo	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5114	llegó	VLfin	Verb	llegar	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5115	buscando	VLger	Verb	buscar	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5116	a	PREP	Preposition	a	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5117	mi	PPO	Pronoun	mío	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5118	hermana	NC	Noun	hermano	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5119	,	CM	Punctuation	,	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5120	pues	CSUBF	Conjunction	pues	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5121	,	CM	Punctuation	,	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5122	como	CSUBX	Conjunction	como	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5123	no	NEG	Adverb	no	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
MF025_1967_CT_SU2011_VA_08	tt-5124	la	PPC	Pronoun	él	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA			Singular	
MF025_1967_CT_SU2011_VA_08	tt-5125	encontró	VLfin	Verb	encontrar	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA	Pret	Indi	Sing	3rd
MF025_1967_CT_SU2011_VA_08	tt-5126	,	CM	Punctuation	,	>>s	00:00:36	00:00:41	5	Spanish	MF025_1967_CT_SU2011_VA				
