ClipId	Gram	Prag	Herit	Vocab,Vocab
MM014_1961_EP_SU2011_AD_03	Det,Det:Art,Det:Demo,Det:Pos,Imperf,Indefinido,Prep,Prep:Para,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Gustar,Gustar:Propios			,Verb:ser,Verb:gustar,Verb:tener,Verb:sobresalir,Noun:eh,Noun:manera,Verb:poder,Verb:dedicar,Adjective:mucho
MM014_1961_EP_SU2011_AD_04	Det,Det:Art,Det:Pos,Imperf,Indefinido,MSub,MSub:Pres,Prep,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc,MarcadoresDisc:Revision		,Verb:tener,Noun:escuela,Adjective:bueno,Noun:graduación,Verb:ser,Adjective:triste,Noun:historia,Verb:tratar
MM014_1961_EP_SU2011_AD_05	Det,Det:Art,Det:Pos,Imperf,Indefinido,Prep,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Revision		Entities,Entities:Geo,Noun:año,Noun:eh,Adjective:recuerdo,Verb:arreglar,Verb:vivir
MM014_1961_EP_SU2011_AD_06	Det,Det:Art,Det:Demo,Det:Pos,Haber,Haber:Exist,MSub,MSub:Pres,Prep,Pron,Pron:Otros,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Revision		,Verb:venir,Verb:trabajar,Verb:ser,Noun:país,Adjective:bueno
MM014_1961_EP_SU2011_AD_07	Det,Det:Art,Det:Pos,Imperf,Indefinido,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa		Entities,Entities:Geo,Verb:ser,Verb:ir,Noun:inglés,Noun:trabajo,Verb:sentir,Verb:tener
MM014_1961_EP_SU2011_AD_08	Det,Det:Art,Det:Pos,Indefinido,MSub,MSub:Pres,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Gustar,Gustar:Propios,PerfPerif	RecuDiscurso,RecuDiscurso:GanarTiempo		,Verb:hacer,Verb:gustar,Verb:ser,Verb:tener,Noun:trabajo,Noun:camión,Noun:chofer,Verb:haber,Noun:profesión,Verb:tratar,Noun:eh,Verb:ir,Adjective:diferente
MM014_1961_EP_SU2011_AD_09	Det,Det:Art,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Ser,Aux,Aux:Haber,Gustar,Gustar:Propios,PerfPerif	MarcadoresDisc,MarcadoresDisc:Causa		,Verb:tener,Verb:ser,Verb:haber,Noun:oportunidad,Verb:ver
MM014_1961_EP_SU2011_AD_10	Det,Det:Art,Det:Pos,Imperf,Indefinido,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Gustar,Gustar:Propios	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,MarcadoresDisc,MarcadoresDisc:Igualdad		Fraseol,Fraseol:VerbPrep,Verb:ser,Verb:tener,Verb:casar,Adjective:bueno,Verb:conocer,Noun:frente,Verb:estar,Noun:tiempo,Verb:saber,Noun:familia,Noun:matrimonio,Noun:persona,Noun:suerte,Noun:risa,Noun:eh,Verb:vivir,Noun:bien
MM014_1961_EP_SU2011_AD_11	Det,Det:Art,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pret,Prep,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Aux,Aux:Haber,Gustar,Gustar:Propios,PerfPerif,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Revision		,Verb:ser,Verb:haber,Adjective:bueno,Verb:tener,Noun:estudiante,Noun:hijo,Verb:seguir,Noun:satisfacción,Verb:dar,Verb:tratar
MM014_1961_EP_SU2011_AD_12	Det,Det:Art,Det:Pos,Indefinido,MSub,MSub:Pres,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Aux,Aux:Haber,PerfPerif,SerEstar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Revision		,Verb:ser,Verb:haber,Noun:persona,Adjective:importante,Adjective:bueno,Verb:enseñar,Noun:eh,Noun:vida,Verb:tener
MM014_1961_EP_SU2011_AD_13	Det,Det:Art,Det:Pos,Prep,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,PerfPerif	MarcadoresDisc,MarcadoresDisc:Igualdad		,Verb:haber,Verb:ser,Noun:meta,Verb:confiar,Verb:alcanzar
MM014_1961_EP_SU2011_AD_14	Det,Det:Art,Det:Demo,Det:Pos,Haber,Haber:Exist,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Genero,Genero:ExcepMasc,PerfPerif	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision		Fraseol,Fraseol:VerbPrep,Verb:ir,Verb:haber,Noun:persona,Verb:pensar,Noun:palabra,Noun:inglés,Noun:español,Verb:perder,Noun:idioma,Verb:ser,Verb:escuchar,Verb:saber,Noun:eh,Verb:hablar,Adjective:español,Verb:cambiar,Adjective:inglés,Verb:ver,Verb:vivir
MM014_1961_EP_SU2011_AD_15	Det,Det:Art,Haber,Haber:Exist,Prep,Pron,Pron:Objeto			,Verb:haber,Noun:sentido,Noun:español,Verb:hablar,Verb:avergonzar
MM014_1961_EP_SU2011_AD_16	Det,Det:Art,Det:Pos,Imperf,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,MarcadoresDisc,MarcadoresDisc:Revision		Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Noun:inglés,Noun:español,Verb:tener,Verb:hablar,Noun:eh,Adjective:español,Noun:trabajo,Verb:dar,Verb:usar
