clip_id	gram_tags	prag_tags	func_tags	herit_tags	vocab_tags
MM067_1993_CT_SU2012_CL_08	Det,Det:Art,Det:Demo,Det:Pos,Haber,Haber:Exist,Indefinido,MSub,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Det,Det:LoAdj,Gustar,Gustar:Propios,PerfPerif	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision		Contacto,Contacto:Mixtas	Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Noun:palabra,Noun:español,Verb:ser,Noun:inglés,Verb:poder,Verb:hacer,Verb:haber,Adjective:interesante,Verb:traducir,Noun:manera,Verb:existir,Adjective:bilingüe,Verb:pronunciar,Verb:hablar,Verb:entender,Adjective:español,Adjective:difícil,Verb:crecer,Verb:querer
MM067_1993_CT_SU2012_CL_09	Det,Det:Art,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Det,Det:DetCombi,Det:LoAdj,MSub,MSub:Pret,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad		Contacto,Contacto:Mixtas	Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Noun:palabra,Verb:poder,Verb:ser,Noun:español,Verb:tener,Verb:usar,Noun:universidad,Verb:resultar,Noun:manera,Noun:uso,Verb:hacer,Verb:estar,Verb:empujar,Verb:seguir,Noun:año,Noun:Unidos,Verb:pensar,Adjective:incorrecto,Verb:haber,Verb:aplicar,Verb:ir,Verb:decir,Noun:proceso,Verb:querer
MM067_1993_CT_SU2012_CL_10	Det,Det:Art,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,Prep,Prep:Para,Prep:Por,Pron,Pron:Sujeto,SerEstar,SerEstar:Ser,Genero,Genero:ExcepMasc	MarcadoresDisc,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo			,Verb:poder,Verb:ser,Noun:dinero,Adjective:suficiente,Noun:colegio,Verb:tener,Noun:universidad,Verb:meter,Adjective:único,Noun:plane,Verb:haber,Verb:aplicar,Noun:programa,Verb:volver,Verb:cambiar,Noun:arquitectura,Noun:meta,Verb:alcanzar
MM067_1993_CT_SU2012_CL_11	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,Prep,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,MSub,MSub:Pres,PerfPerif,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad			Fraseol,Fraseol:VerbPrep,Verb:ser,Verb:haber,Verb:poder,Verb:hacer,Verb:tener,Noun:decisión,Verb:estar,Verb:ir,Noun:plane,Noun:vida,Noun:puerta,Noun:cosa,Verb:pasar,Verb:dejar,Verb:ver
MM067_1993_CT_SU2012_CL_12	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Gustar,Gustar:Interlocutor,Haber,Haber:Exist,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Ser,Det,Det:LoAdj,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad	Expresar,Expresar:Finalidades		,Verb:ser,Verb:poder,Verb:involucrar,Noun:vida,Verb:tener,Verb:ir,Noun:universidad,Verb:hacer,Verb:querer,Noun:mundo,Noun:pobreza,Verb:llevar,Verb:haber,Adjective:malo,Noun:joven,Noun:ignorancia,Verb:seguir,Noun:gente,Noun:pandilla,Verb:crecer,Noun:trabajo
MM069_1960_CT_SU2012_CL_01	Det,Det:Art,Det:CuantIndef,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Ser,Det,Det:DetCombi,Det:LoAdj	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision			Entities,Entities:Geo,Fraseol,Fraseol:LocAdv,Verb:ser,Noun:juego,Noun:familia,Noun:infancia,Verb:haber,Noun:historia,Verb:recordar,Adjective:pobre,Adjective:favorito,Noun:campo
MM069_1960_CT_SU2012_CL_02	Det,Det:Art,Det:Demo,Imperf,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Aux,Aux:Haber,Genero,Genero:ExcepArtFem,Gustar,Gustar:Propios,PerfPerif	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo			Entities,Entities:Geo,Verb:ser,Noun:área,Verb:venir,Noun:Houston,Verb:tener,Noun:año,Noun:vez,Verb:haber,Noun:ciudad,Adjective:primero,Noun:lado,Verb:gustar,Verb:ir,Verb:pasar,Adjective:árido,Verb:quedar
MM069_1960_CT_SU2012_CL_03	Det,Det:Art,Det:CuantIndef,Det:Demo,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,VFut,VFut:Conjugado,Det,Det:DetCombi,Det:LoAdj,MSub,MSub:Pret,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad		Contacto,Contacto:Mixtas	Entities,Entities:Geo,Fraseol,Fraseol:VerbPrep,Verb:ser,Verb:poder,Verb:estar,Noun:México,Verb:decir,Noun:meta,Verb:hacer,Verb:amar,Noun:supervisor,Noun:inglés,Verb:obtener,Verb:ir,Noun:razón,Verb:haber,Verb:llamar,Adjective:importante,Verb:make,Verb:hablar,Verb:considerar,Noun:Unidos,Noun:este,Adjective:ready,Noun:apartamento,Adjective:bueno,Verb:ejercer,Noun:trabajo
MM069_1960_CT_SU2012_CL_04	Det,Det:Art,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Det,Det:DetCombi,Det:LoAdj,Genero,Genero:ExcepMasc,PerfPerif,SerEstar,SerEstar:EstarAux,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision			Fraseol,Fraseol:VerbPrep,Verb:ser,Noun:palabra,Noun:español,Verb:estar,Adjective:bueno,Noun:idioma,Verb:existir,Noun:verdad,Verb:hacer,Verb:deber,Verb:mezclar,Verb:escuchar,Noun:México,Verb:haber,Verb:enseñar,Verb:hablar,Adjective:español,Adjective:inglés,Verb:tener,Adjective:importante,Verb:decir,Noun:este,Noun:Texas,Verb:usar
MM069_1960_CT_SU2012_CL_05	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,VFut,VFut:Conjugado,Det,Det:DetCombi,Det:LoAdj,SerEstar,SerEstar:EstarAux,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad			Fraseol,Fraseol:VerbPrep,Verb:ser,Verb:venir,Verb:pedir,Verb:haber,Noun:autobús,Verb:saber,Adjective:puro,Verb:ir,Noun:dije,Noun:inglés,Verb:tener,Verb:hacer,Verb:estar,Verb:poder,Verb:avergonzar,Verb:apuntar,Verb:escoger,Verb:hablar,Verb:decir,Noun:aparador,Noun:bordo,Noun:hambre,Adjective:lleno,Noun:pollo,Noun:mano,Adjective:mismo,Noun:este,Verb:traer,Noun:español,Noun:ocasión,Verb:parar,Verb:querer
MM069_1960_CT_SU2012_CL_06	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,VFut,VFut:Conjugado,Aux,Aux:Haber,Det,Det:DetCombi,Det:LoAdj,Genero,Genero:ExcepArtFem,Gustar,Gustar:Propios,PerfPerif,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo,MarcadoresDisc,MarcadoresDisc:Igualdad		Contacto,Contacto:Mixtas	,Verb:ser,Adjective:mexicano,Verb:hacer,Noun:chile,Noun:comida,Noun:cabrito,Verb:haber,Verb:perder,Noun:tradición,Adjective:original,Noun:relleno,Noun:país,Noun:queso,Noun:restaurante,Verb:poder,Verb:inventar,Noun:León,Adjective:raro,Adjective:relleno,Noun:cosa,Verb:contar,Noun:costumbre,Noun:este,Verb:comer,Adjective:bueno,Verb:usar
MM069_1960_CT_SU2012_CL_07	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Imperf,Indefinido,MSub,MSub:Pres,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Sujeto,SerEstar,SerEstar:Ser,Det,Det:DetCombi,Det:LoAdj,Genero,Genero:ExcepMasc	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision			,Verb:ser,Noun:español,Verb:hablar,Verb:celebrar,Noun:inglés,Noun:cosa,Adjective:cultural,Noun:tradición
MM069_1960_CT_SU2012_CL_08	Det,Det:Art,Det:CuantIndef,Det:Demo,Det:Pos,Haber,Haber:Exist,Imperf,Indefinido,MSub,MSub:Pres,MSub:Pret,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Estar,SerEstar:Ser,Aux,Aux:Haber,Det,Det:LoAdj,PerfPerif,SerEstar,SerEstar:EstarAux	MarcadoresDisc,MarcadoresDisc:Causa,MarcadoresDisc:Igualdad,MarcadoresDisc:Revision,RecuDiscurso,RecuDiscurso:GanarTiempo		Contacto,Contacto:Mixtas	Fraseol,Fraseol:VerbPrep,Verb:ser,Noun:comida,Adjective:mexicano,Verb:perder,Noun:tradición,Verb:hacer,Noun:país,Noun:español,Adjective:original,Verb:haber,Noun:tiempo,Verb:hablar,Noun:costumbre,Verb:poder,Noun:habla
MM069_1960_CT_SU2012_CL_09	Det,Det:Art,Det:CuantIndef,Haber,Haber:Exist,Indefinido,MSub,MSub:Pres,Prep,Prep:Para,Prep:Por,Pron,Pron:Objeto,Pron:Otros,Pron:Sujeto,SerEstar,SerEstar:Ser,Det,Det:DetCombi,Det:LoAdj,VFut,VFut:Perifrasis	MarcadoresDisc,MarcadoresDisc:Igualdad			,Verb:ser,Verb:poder,Noun:estado,Verb:tener,Verb:decir,Verb:haber,Noun:eh,Verb:obtener,Verb:ir,Noun:gente,Verb:culturar,Noun:ley,Adjective:amigable,Adjective:diferente,Noun:comida
